89;AmaNEk?;16;Zowie EC2-A White Edition;400;2.2;1440x1080
90;SmithZz;16;Logitech G403 Wireless;400;2.5;1024x768
91;Lucky;16;Zowie FK1+;400;2;1280x960
92;JACKZ;16;Logitech MX518 Legendary;400;2.4;1024x768
93;fitch;17;Zowie EC2-A;400;1.5;1680x1050
94;Buster;17;Zowie ZA12;400;2.2;1280x960
95;Jame;17;Zowie EC2-A;1,6;0.62;1024x768
96;qikert;17;Zowie ZA12;400;2.7;1280x960
97;krizzen;17;Zowie EC2-A;400;2.2;1280x800
98;koosta;18;FinalMouse Classic Ergo 2;400;2.4;1024x768
99;steel;18;Logitech G Pro Wireless;800;1;1280x800
100;Freakazoid;18;Zowie EC2-B Divina Edition;800;0.85;1280x960
101;wardell;18;Razer DeathAdder Elite;400;2.5;1024x768
102;Subroza;18;Zowie FK2;800;0.87;1024x768
103;neptune;18;Logitech G403;650;1.3;1280x960
104;HObbit;19;Zowie FK2;800;1.5;1680x1050
105;ANGE1;19;Zowie ZA12;400;1.7;1280x960
106;DeadFox;19;Razer DeathAdder Elite;400;2.5;1024x768
107;ISSAA;19;Zowie ZA13;400;2.8;1024x768
108;nexa;20;Zowie EC2-A;800;1;1024x768
109;EspiranTo;20;Logitech G Pro Wireless;400;3.06;1024x768
110;huNter;20;Zowie EC2-B Divina Edition;400;2;1024x768
111;ottoNd;20;Logitech G Pro Wireless;400;2.1;1024x768
112;LETN1;20;Zowie EC2-B;400;1.65;1024x768
113;WorldEdit;21;Logitech G703;400;1.84;1600x900
114;wayLander;21;Razer DeathAdder Elite;400;1.3;1920x1080
115;Kvik;21;Zowie EC2-A;400;3.07;1024x768
116;Boombl4;21;Zowie EC1-A;400;1.34;1024x768
117;n0rb3r7;21;Zowie EC2-B;800;0.9;1280x720
118;somebody;22;Zowie EC2-A;400;3;1280x960
119;BnTeT;22;SteelSeries Sensei Raw;810;1.1;1024x768
120;xccurate;22;Zowie FK2 White Edition;800;1;1024x768
121;Attacker;22;Zowie FK2;400;2.2;1024x768
122;Summer;22;Zowie FK2;400;3;1280x960
123;kscerato;23;Logitech G Pro Wireless;600;2.6;1024x768
124;arT;23;Zowie FK1+;400;3;1280x960
125;yuurih;23;Zowie EC1-B Divina Edition;400;2.2;1024x768
126;VINI;23;FinalMouse Air58 Ninja CBB Edition;1,6;0.47;1920x1080
